HeroID,Group,Game Date,Adj MMR Before
19,Support,2016-01-05,1980.5196664576495
19,Support,2016-01-06,1977.2157985116626
19,Support,2016-01-07,1975.1910402087829
19,Support,2016-01-08,1979.2046493603743
19,Support,2016-01-09,1971.379907530925
19,Support,2016-01-10,1973.714878031808
19,Support,2016-01-11,1986.4805971110975
19,Support,2016-01-12,1961.6870227806146
19,Support,2016-01-13,1959.2653358661146
19,Support,2016-01-14,1958.9220521754876
19,Support,2016-01-15,1948.9883918059793
19,Support,2016-01-16,1953.9519337007919
19,Support,2016-01-17,1964.2461723906652
19,Support,2016-01-18,1965.092302123431
19,Support,2016-01-19,1978.5709194075353
19,Support,2016-01-20,2090.952374874668
19,Support,2016-01-21,2155.459724428302
19,Support,2016-01-22,2124.613542704481
19,Support,2016-01-23,2104.078850095259
19,Support,2016-01-24,2138.236512660815
20,Warrior,2015-12-30,2046.058503897798
20,Warrior,2015-12-31,2059.6376077949917
20,Warrior,2016-01-01,2076.1164550077865
20,Warrior,2016-01-02,2075.239118505714
20,Warrior,2016-01-03,2071.4772385154606
20,Warrior,2016-01-04,2086.4511264000025
20,Warrior,2016-01-05,2072.21173150654
20,Warrior,2016-01-06,2077.6101488713543
20,Warrior,2016-01-07,2075.698199414544
20,Warrior,2016-01-08,2064.7583697993036
20,Warrior,2016-01-09,2059.2516997763423
20,Warrior,2016-01-10,2064.6757690379413
20,Warrior,2016-01-11,2076.8391056626615
20,Warrior,2016-01-12,2106.2878855647687
20,Warrior,2016-01-13,2125.3093135199506
20,Warrior,2016-01-14,2120.9487127703437
20,Warrior,2016-01-15,2095.9551225348196
20,Warrior,2016-01-16,2079.530539837883
20,Warrior,2016-01-17,2113.558649000863
20,Warrior,2016-01-18,2127.4523375570816
20,Warrior,2016-01-19,2141.0127259962446
20,Warrior,2016-01-20,2152.488102959404
20,Warrior,2016-01-21,2134.0450937840887
20,Warrior,2016-01-22,2131.240037346143
20,Warrior,2016-01-23,2139.9797236679233
20,Warrior,2016-01-24,2194.8986369852946
21,Specialist,2015-12-30,2110.3879476751968
21,Specialist,2015-12-31,2138.1461620466707
21,Specialist,2016-01-01,2145.874092182535
21,Specialist,2016-01-02,2153.072722932945
21,Specialist,2016-01-03,2151.659775121105
21,Specialist,2016-01-04,2166.214901565246
21,Specialist,2016-01-05,2165.6080430597513
21,Specialist,2016-01-06,2158.082658348328
21,Specialist,2016-01-07,2153.6094590565
21,Specialist,2016-01-08,2161.076353673662
21,Specialist,2016-01-09,2140.9494801205174
21,Specialist,2016-01-10,2151.5410289558686
21,Specialist,2016-01-11,2156.479777212607
21,Specialist,2016-01-12,2161.0053441729433
21,Specialist,2016-01-13,2174.2639856572805
21,Specialist,2016-01-14,2163.3038219455925
21,Specialist,2016-01-15,2160.595950634621
21,Specialist,2016-01-16,2140.250028871383
21,Specialist,2016-01-17,2164.1678779659933
21,Specialist,2016-01-18,2168.958070989856
21,Specialist,2016-01-19,2184.328992019818
21,Specialist,2016-01-20,2189.2436173774813
21,Specialist,2016-01-21,2170.5759557597257
21,Specialist,2016-01-22,2170.889601385809
21,Specialist,2016-01-23,2178.405264469068
21,Specialist,2016-01-24,2168.527060455621
22,Specialist,2015-12-30,1997.246175798745
22,Specialist,2015-12-31,2025.7017097441274
22,Specialist,2016-01-01,2019.0643066365596
22,Specialist,2016-01-02,2014.0660985162508
22,Specialist,2016-01-03,2015.866598469509
22,Specialist,2016-01-04,2019.5442306013417
22,Specialist,2016-01-05,2054.955549097465
22,Specialist,2016-01-06,2050.92053684429
22,Specialist,2016-01-07,2068.7822998228867
22,Specialist,2016-01-08,2057.855274455667
22,Specialist,2016-01-09,2046.258164268835
22,Specialist,2016-01-10,2052.3570575348413
22,Specialist,2016-01-11,2055.828762380585
22,Specialist,2016-01-12,2077.1435605461193
22,Specialist,2016-01-13,2091.166410289685
22,Specialist,2016-01-14,2087.41425445474
